,Waktu,Temp1,Temp2,Humid 1,Humid 2,Baterai,Temp outdoor,Humidity outdoor
7129,2025-11-17 11:34:41+07:00,,,,,,,
7130,2025-11-17 11:34:57+07:00,,,,,,,
7131,2025-11-17 11:35:13+07:00,,,,,,,
7132,2025-11-17 11:35:29+07:00,,,,,,,
7133,2025-11-17 11:35:46+07:00,,,,,,,
7134,2025-11-17 11:36:03+07:00,,,,,,,
7135,2025-11-17 11:36:19+07:00,,,,,,,
7136,2025-11-17 11:36:35+07:00,,,,,,,
7137,2025-11-17 11:36:51+07:00,,,,,,,
7138,2025-11-17 11:37:07+07:00,,,,,,,
7139,2025-11-17 11:37:23+07:00,,,,,,,
7140,2025-11-17 11:37:40+07:00,,,,,,,
7141,2025-11-17 11:37:56+07:00,,,,,,,
7142,2025-11-17 11:46:20+07:00,,,,,,,
7143,2025-11-17 11:48:17+07:00,,,,,,,
7144,2025-11-17 11:50:18+07:00,,,,,,,
7145,2025-11-17 11:52:19+07:00,,,,,,,
7146,2025-11-17 11:54:21+07:00,,,,,,,
7147,2025-11-17 15:11:13+07:00,,,,,,26.7,95.6
7148,2025-11-17 15:11:49+07:00,,,,,,0.0,0.0
7149,2025-11-17 15:16:21+07:00,,,,,,28.5,84.0
7150,2025-11-17 15:16:37+07:00,,,,,,28.5,85.2
7151,2025-11-17 15:16:54+07:00,,,,,,28.6,84.0
7152,2025-11-17 15:17:10+07:00,,,,,,28.5,84.4
7153,2025-11-17 15:17:26+07:00,,,,,,28.3,85.0
7154,2025-11-17 15:17:42+07:00,,,,,,28.0,85.8
7155,2025-11-17 15:17:58+07:00,,,,,,27.7,86.6
7156,2025-11-17 15:18:14+07:00,,,,,,27.5,87.5
7157,2025-11-17 15:18:30+07:00,,,,,,27.3,88.2
7158,2025-11-17 15:18:46+07:00,,,,,,27.2,88.9
7159,2025-11-17 15:19:02+07:00,,,,,,27.0,89.5
7160,2025-11-17 15:19:19+07:00,,,,,,26.9,90.0
7161,2025-11-17 15:19:35+07:00,,,,,,26.8,90.4
7162,2025-11-17 15:19:51+07:00,,,,,,26.7,90.7
7163,2025-11-17 15:20:07+07:00,,,,,,27.0,91.5
7164,2025-11-17 15:20:23+07:00,,,,,,28.5,85.2
7165,2025-11-17 15:20:39+07:00,,,,,,29.8,80.7
7166,2025-11-17 15:20:55+07:00,,,,,,30.2,77.9
7167,2025-11-17 15:21:12+07:00,,,,,,30.4,77.2
7168,2025-11-17 15:21:30+07:00,,,,,,30.0,79.1
7169,2025-11-17 15:21:46+07:00,,,,,,29.8,79.9
7170,2025-11-17 15:22:02+07:00,,,,,,29.3,81.4
7171,2025-11-17 15:22:18+07:00,,,,,,28.9,83.0
7172,2025-11-17 15:22:34+07:00,,,,,,28.4,84.4
7173,2025-11-17 15:22:50+07:00,,,,,,28.1,85.5
7174,2025-11-17 15:23:06+07:00,,,,,,27.8,86.7
7175,2025-11-17 15:23:23+07:00,,,,,,27.5,87.6
7176,2025-11-17 15:23:39+07:00,,,,,,27.3,88.5
7177,2025-11-17 15:23:55+07:00,,,,,,27.1,89.1
7178,2025-11-17 15:24:11+07:00,,,,,,26.9,90.2
7179,2025-11-17 15:24:27+07:00,,,,,,26.7,91.1
7180,2025-11-17 15:24:43+07:00,,,,,,26.5,91.7
7181,2025-11-17 15:24:59+07:00,,,,,,26.4,92.5
7182,2025-11-17 15:25:16+07:00,,,,,,26.3,92.7
7183,2025-11-17 15:25:32+07:00,,,,,,26.2,93.0
7184,2025-11-17 15:25:48+07:00,,,,,,26.1,93.4
7185,2025-11-17 15:26:04+07:00,,,,,,26.0,93.7
