Waktu,Temp1,Temp2,Humid 1,Humid 2,Baterai,Temp outdoor,Humidity outdoor
2025-11-17 09:00:00+07:00,,,62.75833333333333,61.99166666666667,,29.49777777777778,69.22
2025-11-17 15:00:00+07:00,,,62.75833333333333,61.99166666666667,,26.525000000000002,89.76041666666667
2025-11-17 16:00:00+07:00,,,62.75833333333333,61.99166666666667,,25.381052631578946,95.66894736842104
2025-11-17 17:00:00+07:00,,,62.75833333333333,61.99166666666667,,24.518918918918917,97.16801801801802
2025-11-17 18:00:00+07:00,,,62.75833333333333,61.99166666666667,,24.272888888888886,97.59733333333334
2025-11-17 19:00:00+07:00,,,62.75833333333333,61.99166666666667,,24.09419642857143,97.22633928571429
2025-11-17 20:00:00+07:00,,,62.75833333333333,61.99166666666667,,23.923660714285713,96.49017857142857
2025-11-17 21:00:00+07:00,,,62.75833333333333,61.99166666666667,,23.758928571428573,96.37723214285714
2025-11-17 22:00:00+07:00,,,62.75833333333333,61.99166666666667,,23.612888888888893,96.00977777777778
2025-11-17 23:00:00+07:00,,,62.75833333333333,61.99166666666667,,23.524553571428573,95.42633928571429
2025-11-18 00:00:00+07:00,,,62.75833333333333,61.99166666666667,,23.44622222222222,95.7688888888889
2025-11-18 01:00:00+07:00,,,62.75833333333333,61.99166666666667,,23.38938053097345,96.04380530973452
2025-11-18 02:00:00+07:00,,,62.75833333333333,61.99166666666667,,23.373333333333335,95.96622222222223
2025-11-18 03:00:00+07:00,,,62.75833333333333,61.99166666666667,,23.276000000000003,95.652
2025-11-18 04:00:00+07:00,,,62.75833333333333,61.99166666666667,,23.17920353982301,95.54159292035399
2025-11-18 05:00:00+07:00,,,62.75833333333333,61.99166666666667,,23.11777777777778,95.51955555555556
2025-11-18 06:00:00+07:00,,,62.75833333333333,61.99166666666667,,23.36622222222222,96.21022222222221
2025-11-18 07:00:00+07:00,,,62.75833333333333,61.99166666666667,,23.784,97.09244444444444
2025-11-18 08:00:00+07:00,,,62.75833333333333,61.99166666666667,,24.3625,96.60000000000001
